######## image 1, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/003732.jpg ########
(0.0, 60.0, -65358.0, 124.0)
(0.0, 121.0, -65358.0, 172.0)


######## image 2, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/007919.jpg ########
(3.0, 48.0, -65358.0, 122.0)
(3.0, 120.0, -65358.0, 180.0)


######## image 3, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/010616.jpg ########
(0.0, 63.0, -65358.0, 123.0)
(0.0, 123.0, -65358.0, 171.0)


######## image 4, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/011345.jpg ########
(0.0, 58.0, -65358.0, 124.0)
(0.0, 123.0, -65358.0, 176.0)


######## image 5, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/013957.jpg ########
(0.0, 58.0, -65358.0, 124.0)
(0.0, 122.0, -65358.0, 175.0)


######## image 6, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/018962.jpg ########
(129.0, 90.0, -65358.0, 139.0)


######## image 7, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/021639.jpg ########
(0.0, 55.0, -65358.0, 123.0)
(0.0, 118.0, -65358.0, 173.0)


######## image 8, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/028236.jpg ########
(0.0, 49.0, -65358.0, 121.0)
(0.0, 120.0, -65358.0, 178.0)


######## image 9, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/028314.jpg ########
(1.0, 53.0, -65358.0, 123.0)
(1.0, 122.0, -65358.0, 178.0)


######## image 10, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/040318.jpg ########
(137.0, 107.0, -65358.0, 148.0)


######## image 11, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/043745.jpg ########
(0.0, 51.0, -65358.0, 123.0)
(0.0, 120.0, -65358.0, 178.0)


######## image 12, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/051903.jpg ########
(2.0, 42.0, -65358.0, 122.0)
(2.0, 115.0, -65358.0, 179.0)


######## image 13, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/055163.jpg ########
(0.0, 56.0, -65358.0, 124.0)
(0.0, 122.0, -65358.0, 177.0)


######## image 14, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/055832.jpg ########
(0.0, 51.0, -65358.0, 123.0)
(0.0, 120.0, -65358.0, 178.0)


######## image 15, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/056642.jpg ########
(0.0, 55.0, -65358.0, 123.0)
(0.0, 119.0, -65358.0, 174.0)


######## image 16, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/060053.jpg ########
(0.0, 58.0, -65358.0, 124.0)
(0.0, 123.0, -65358.0, 176.0)


######## image 17, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/062183.jpg ########
(0.0, 39.0, -65358.0, 117.0)
(0.0, 112.0, -65358.0, 174.0)


######## image 18, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/065623.jpg ########
(0.0, 50.0, -65358.0, 122.0)
(0.0, 120.0, -65358.0, 178.0)


######## image 19, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/065635.jpg ########
(130.0, 130.0, -65358.0, 178.0)


######## image 20, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/067115.jpg ########
(3.0, 41.0, -65358.0, 123.0)
(3.0, 115.0, -65358.0, 180.0)


######## image 21, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/074308.jpg ########
(133.0, 66.0, -65358.0, 111.0)


######## image 22, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/076929.jpg ########
(132.0, 81.0, -65358.0, 127.0)


######## image 23, /home/zengjiajian/py-faster-rcnn/data/CelebAdevkit/CelebA/JPEGImages/079468.jpg ########
(0.0, 51.0, -65358.0, 123.0)
